"iteration";"SVM.kernel_gamma";"SVM.C";"SVM.kernel_type";"accuracy"
98.0;2.685795883818439;0.10000000000000003;"anova";0.41600000000000004
105.0;0.223606797749979;0.9999999999999998;"anova";0.44799999999999995
116.0;0.223606797749979;10.000000000000005;"anova";0.38499999999999995
99.0;5.0;0.10000000000000003;"anova";0.43200000000000005
108.0;1.4426999059072139;0.9999999999999998;"anova";0.43999999999999995
106.0;0.4162766037009365;0.9999999999999998;"anova";0.45100000000000007
112.0;0.018616455666360693;10.000000000000005;"anova";0.4699999999999999
117.0;0.4162766037009365;10.000000000000005;"anova";0.365
109.0;2.685795883818439;0.9999999999999998;"anova";0.425
124.0;0.034657242157757326;100.0;"anova";0.40099999999999997
114.0;0.0645195012148216;10.000000000000005;"anova";0.42300000000000004
115.0;0.12011244339814313;10.000000000000005;"anova";0.4290000000000001
107.0;0.7749594937741684;0.9999999999999998;"anova";0.461
113.0;0.034657242157757326;10.000000000000005;"anova";0.4680000000000001
111.0;0.01;10.000000000000005;"anova";0.476
110.0;5.0;0.9999999999999998;"anova";0.44800000000000006
118.0;0.7749594937741684;10.000000000000005;"anova";0.35999999999999993
120.0;2.685795883818439;10.000000000000005;"anova";0.4069999999999999
122.0;0.01;100.0;"anova";0.42299999999999993
125.0;0.0645195012148216;100.0;"anova";0.40700000000000003
121.0;5.0;10.000000000000005;"anova";0.40700000000000003
119.0;1.4426999059072139;10.000000000000005;"anova";0.40800000000000003
123.0;0.018616455666360693;100.0;"anova";0.4130000000000001
127.0;0.223606797749979;100.0;"anova";0.41600000000000004
126.0;0.12011244339814313;100.0;"anova";0.413
128.0;0.4162766037009365;100.0;"anova";0.426
129.0;0.7749594937741684;100.0;"anova";0.429
131.0;2.685795883818439;100.0;"anova";0.404
130.0;1.4426999059072139;100.0;"anova";0.406
132.0;5.0;100.0;"anova";0.395
