"word";"in documents";"total";"in class (unknown)";"in class (food/beverage/hospitality)"
"augment";3;3;0.0;0.0
"augment_commun";3;3;0.0;0.0
"augment_commun_non";3;3;0.0;0.0
"augment_commun_non_violent";3;3;0.0;0.0
"author";5;6;0.0;0.0
"autism";4;6;0.0;0.0
"autism_disord";3;3;0.0;0.0
"autism_disord_experi";3;3;0.0;0.0
"autism_disord_experi_challeng";3;3;0.0;0.0
"auto";4;4;0.0;0.0
"autom";5;10;0.0;0.0
"automot";3;4;0.0;0.0
"avail";66;72;0.0;0.0
"avail_start";4;4;0.0;0.0
"avail_weekend";3;3;0.0;0.0
"avail_work";5;5;0.0;0.0
"avail_work_dai";3;3;0.0;0.0
"awar";4;4;0.0;0.0
"award";7;8;0.0;0.0
"award_win";3;3;0.0;0.0
"b";15;20;0.0;0.0
"b_c";4;4;0.0;0.0
"bachelor";8;8;0.0;0.0
"bachelor_degre";4;4;0.0;0.0
"background";22;24;0.0;0.0
"background_check";3;3;0.0;0.0
"bake";5;7;0.0;0.0
"baker";3;8;0.0;0.0
"bank";3;6;0.0;0.0
"barista";5;8;0.0;0.0
"base";71;87;0.0;0.0
"base_experi";3;3;0.0;0.0
"base_inform";3;3;0.0;0.0
"basi";16;17;0.0;0.0
"basic";30;35;0.0;0.0
"basic_comput";3;3;0.0;0.0
"basic_knowledg";6;6;0.0;0.0
"basic_offic";3;5;0.0;0.0
"basic_offic_skill";3;5;0.0;0.0
"bc";48;62;0.0;0.0
"bc_alberta";3;3;0.0;0.0
"bc_care";3;3;0.0;0.0
"bc_care_aid";3;3;0.0;0.0
"bc_care_aid_commun";3;3;0.0;0.0
"bc_driver";9;9;0.0;0.0
"bc_driver_licens";7;7;0.0;0.0
"bc_driver_licens_minimum";3;3;0.0;0.0
"bc_famili";3;3;0.0;0.0
"bc_famili_own";3;3;0.0;0.0
"bc_famili_own_oper";3;3;0.0;0.0
"bc_requir";3;3;0.0;0.0
"bc_s";5;5;0.0;0.0
"bc_v";5;5;0.0;0.0
"beach";3;6;0.0;0.0
"beauti";7;10;0.0;0.0
"becom";17;17;0.0;0.0
"bed";3;3;0.0;0.0
"bedroom";3;3;0.0;0.0
"beer";3;3;0.0;0.0
"begin";5;5;0.0;0.0
"behalf";10;11;0.0;0.0
"behalf_client";6;6;0.0;0.0
"behalf_client_seek";3;3;0.0;0.0
"behaviour";3;12;0.0;0.0
"behaviour_behaviour";3;3;0.0;0.0
"behaviour_behaviour_manag";3;3;0.0;0.0
"behaviour_behaviour_manag_strategi";3;3;0.0;0.0
"behaviour_manag";3;6;0.0;0.0
"behaviour_manag_strategi";3;3;0.0;0.0
"behaviour_manag_strategi_experi";3;3;0.0;0.0
"behaviour_manag_train";3;3;0.0;0.0
"behaviour_manag_train_knowledg";3;3;0.0;0.0
"believ";9;10;0.0;0.0
"believ_uniqu";3;3;0.0;0.0
"believ_uniqu_skill";3;3;0.0;0.0
"believ_uniqu_skill_set";3;3;0.0;0.0
"benefit";50;58;0.0;0.0
"benefit_competit";3;3;0.0;0.0
"benefit_packag";12;13;0.0;0.0
"benefit_packag_includ";4;4;0.0;0.0
"big";4;4;0.0;0.0
"bilingu";4;5;0.0;0.0
"bill";5;7;0.0;0.0
"birthdai";3;3;0.0;0.0
"bit";3;3;0.0;0.0
"block";4;4;0.0;0.0
"board";5;5;0.0;0.0
"bodi";6;6;0.0;0.0
"bodi_email";3;3;0.0;0.0
"bondabl";9;9;0.0;0.0
"bondabl_abl";3;3;0.0;0.0
"bonu";13;13;0.0;0.0
"bonu_scheme";3;3;0.0;0.0
"bonu_scheme_highli";3;3;0.0;0.0
"bonu_scheme_highli_energet";3;3;0.0;0.0
"bonus";4;5;0.0;0.0
"book";11;14;0.0;0.0
"book_appoint";3;5;0.0;0.0
"boom";3;3;0.0;0.0
"bottl";3;3;0.0;0.0
"brand";13;28;0.0;0.0
"brand_ambassador";3;3;0.0;0.0
"bread";3;4;0.0;0.0
"break";3;3;0.0;0.0
"breakfast";3;6;0.0;0.0
"brief";6;6;0.0;0.0
"bring";14;17;0.0;0.0
"british";5;5;0.0;0.0
"british_columbia";5;5;0.0;0.0
"broadcast";3;5;0.0;0.0
"broadwai";3;3;0.0;0.0
"browser";3;5;0.0;0.0
"bu";3;3;0.0;0.0
"budget";12;23;0.0;0.0
"buffet";3;3;0.0;0.0
"bui";5;5;0.0;0.0
"build";42;56;0.0;0.0
"build_brand";4;4;0.0;0.0
"build_servic";3;3;0.0;0.0
"build_servic_worker";3;3;0.0;0.0
"burnabi";11;13;0.0;0.0
"busi";83;144;0.0;0.0
"busi_analyst";3;9;0.0;0.0
"busi_busi";4;4;0.0;0.0
"busi_clean";3;3;0.0;0.0
